FIPS,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Unity,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,State5,State6,State7,State8
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22
1001,Autauga,County,17649,3880,13329,0,427,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin,County,67065,0,59106,0,7729,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0
1005,Barbour,County,6494,2616,3810,0,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1007,Bibb,County,5260,0,4834,0,402,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
1009,Blount,County,16098,0,15245,0,833,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1011,Bullock,County,2640,1821,797,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,Butler,County,5869,2059,3734,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1015,Calhoun,County,29982,6910,21805,804,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,Chambers,County,9090,2863,5932,153,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,Cherokee,County,7822,680,6952,103,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,Chilton,County,11485,273,10627,43,525,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
1023,Choctaw,County,5148,2080,2964,0,103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1025,Clarke,County,8955,3775,5069,0,109,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1027,Clay,County,4233,482,3638,66,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,Cleburne,County,4604,285,4178,85,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,Coffee,County,13933,2365,11309,0,253,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1033,Colbert,County,17222,4083,12766,0,367,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1035,Conecuh,County,4416,1880,2502,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1037,Coosa,County,3808,983,2699,73,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,Covington,County,11233,1327,9774,0,130,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1041,Crenshaw,County,4539,879,3603,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1043,Cullman,County,26128,1839,23615,0,669,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1045,Dale,County,11987,2389,9363,0,229,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1047,Dallas,County,11307,7681,3483,0,142,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1049,DeKalb,County,17094,1729,14935,0,415,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
1051,Elmore,County,25728,4954,20264,0,502,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1053,Escambia,County,8153,91,7295,0,740,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
1055,Etowah,County,25986,4786,20664,0,528,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1057,Fayette,County,5503,661,4757,0,83,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1059,Franklin,County,7425,827,6456,0,140,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1061,Geneva,County,7965,792,7058,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,Greene,County,2973,2411,535,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1065,Hale,County,5196,2990,2138,0,61,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1067,Henry,County,6713,1588,5028,0,95,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1069,Houston,County,27420,5970,20925,0,511,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
1071,Jackson,County,13331,1547,11531,0,236,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
1073,Jefferson,County,172461,58054,93672,0,19185,0,0,0,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,0
1075,Lamar,County,4373,430,3880,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1077,Lauderdale,County,25702,5332,19806,0,551,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1079,Lawrence,County,10688,1885,8563,0,236,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1081,Lee,County,40328,12144,26341,882,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,Limestone,County,31094,6901,23174,0,976,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
1085,Lowndes,County,4053,2827,1175,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,Macon,County,5325,3914,1207,140,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,Madison,County,119858,45565,69665,0,4383,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0
1091,Marengo,County,7251,3603,3542,0,104,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1093,Marion,County,8407,583,7666,0,153,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1095,Marshall,County,24205,2396,21258,0,545,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1097,Mobile,County,82440,0,64788,0,16764,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0
1099,Monroe,County,4937,0,4292,0,625,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1101,Montgomery,County,57307,34708,21627,0,927,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
1103,Morgan,County,31992,5941,25150,0,845,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
1105,Perry,County,3176,2335,802,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,Pickens,County,6524,2450,3958,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,Pike,County,8100,2704,5281,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,Randolph,County,6584,928,5465,114,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,Russell,County,11523,5219,5986,179,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,St. Clair,County,27846,3674,23167,511,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,Shelby,County,61815,0,52980,0,8281,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0
1119,Sumter,County,3865,2787,1045,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,Talladega,County,21602,6595,14311,449,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,Tallapoosa,County,13536,2820,10352,224,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,Tuscaloosa,County,51449,19409,30856,0,1153,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
1127,Walker,County,17789,2022,15397,0,365,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1129,Washington,County,4922,0,4570,0,342,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1131,Wilcox,County,3850,2604,1211,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,Winston,County,6924,398,6358,0,159,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2701,District 1,Election District,6733,2956,1799,0,131,0,0,0,1806,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2702,District 2,Election District,7481,4331,1913,0,113,0,0,0,1099,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2703,District 3,Election District,8765,5504,1558,0,136,0,0,0,1562,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2704,District 4,Election District,7620,5760,764,0,82,0,0,0,998,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2705,District 5,Election District,5840,2933,1617,0,124,0,0,0,1105,0,61,0,0,0,0,0,0,0,0,0,0,0,0
2706,District 6,Election District,9710,4517,2609,0,189,0,0,0,2370,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2707,District 7,Election District,7393,2304,2926,0,136,0,0,0,2018,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2708,District 8,Election District,8560,2404,3369,0,153,0,0,0,2568,0,66,0,0,0,0,0,0,0,0,0,0,0,0
2709,District 9,Election District,10120,5325,1690,0,117,0,0,0,2931,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2710,District 10,Election District,7032,3600,1608,0,87,0,0,0,1716,0,21,0,0,0,0,0,0,0,0,0,0,0,0
2711,District 11,Election District,8087,4099,1692,0,90,0,0,0,2202,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2712,District 12,Election District,6653,3770,1235,0,93,0,0,0,1524,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2713,District 13,Election District,5611,3024,1204,0,86,0,0,0,1259,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2714,District 14,Election District,6011,3907,1026,0,89,0,0,0,978,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2715,District 15,Election District,7626,4014,1540,0,113,0,0,0,1951,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2716,District 16,Election District,7914,4958,1186,0,99,0,0,0,1646,0,25,0,0,0,0,0,0,0,0,0,0,0,0
